n,max_steps,field_width,field_height,field_depth,r_o,r_a,group_dir,group_rho
20.0,3932.0,28.34,10.6,9.93,7.0,7.0,0.6938937288124278,0.23141902325319727
20.0,3948.0,26.76,16.31,9.94,11.0,3.0,0.7977896366155919,0.25130587499601714
20.0,3973.0,28.26,11.57,3.0,3.0,11.0,0.3796550867721896,0.16768850541014918
20.0,3978.0,26.72,11.37,4.82,0.0,5.0,0.11816277763576669,0.11365453723845469
20.0,3920.0,26.93,9.02,9.29,14.0,9.0,0.7599071018921923,0.31650304933873674
20.0,3925.0,27.54,12.35,8.19,10.0,0.0,0.4848247820548249,0.3839881509507506
20.0,3902.0,25.26,10.61,3.59,4.0,14.0,0.6497892081923254,0.40195180907737393
20.0,3962.0,27.01,12.96,9.29,1.0,6.0,0.23628202013758282,0.20535526383112704
20.0,3999.0,24.64,11.02,11.18,13.0,8.0,0.8945627318139158,0.2631793338661236
20.0,3912.0,27.64,14.6,8.78,12.0,13.0,0.9984725846013921,0.08940050530933843
20.0,3905.0,28.5,12.06,9.07,2.0,1.0,0.16250504493579382,0.10855093780820964
20.0,3960.0,24.91,13.85,7.22,6.0,2.0,0.5405360168351019,0.11042586060186384
20.0,3996.0,28.58,10.51,11.91,8.0,12.0,0.870279146833006,0.09771586224453677
20.0,3998.0,30.02,13.07,7.89,9.0,10.0,0.8936299861693218,0.1627714321388273
20.0,3964.0,29.85,13.99,10.72,5.0,4.0,0.5765833063687039,0.2758218525594588
14.0,3939.0,26.36,8.89,11.91,7.0,7.0,0.9828407278684045,0.050139919816698
14.0,3961.0,27.39,16.27,10.72,11.0,3.0,0.8692626027460609,0.3806766154049945
14.0,3917.0,23.93,15.35,11.74,3.0,11.0,0.44097770422527244,0.7663393235627446
14.0,3912.0,25.09,10.82,9.81,0.0,5.0,0.31396037496890117,0.2982453285515697
14.0,3951.0,26.04,11.35,9.4,14.0,9.0,0.796453434640074,0.1832074463263604
14.0,3906.0,29.03,13.35,7.24,10.0,0.0,0.5856831235582424,0.4897473110111738
14.0,3976.0,29.4,13.71,14.42,4.0,14.0,0.6166129866047962,0.3694426415595501
14.0,3901.0,30.64,12.61,7.72,1.0,6.0,0.5192019915035927,0.24953312492225252
14.0,3918.0,30.17,13.13,7.39,13.0,8.0,0.8365619911694404,0.16432964478236708
14.0,3968.0,27.53,15.13,3.17,12.0,13.0,0.9984373502391859,0.10964375282687515
14.0,3957.0,28.76,12.97,9.4,2.0,1.0,0.3581186149947338,0.18402154766267703
14.0,3921.0,28.89,9.62,5.13,6.0,2.0,0.9017641223456131,0.2598608812385445
14.0,3913.0,29.73,11.53,11.06,8.0,12.0,0.9937625496214542,0.08640143840220323
14.0,3915.0,28.5,8.79,9.09,9.0,10.0,0.9722358019413686,0.18531456396193555
14.0,3949.0,27.61,7.44,8.0,5.0,4.0,0.6700206000295751,0.5073493071231601
12.0,3922.0,27.46,13.13,7.42,7.0,7.0,0.9592198365459264,0.04226863544446186
