n,max_steps,field_width,field_height,field_depth,group_dir,group_rho
20.0,4000.0,24.0,12.0,16.0,0.9313503689659306,0.19331193636206262
20.0,4000.0,24.0,12.0,16.0,0.9548652423215518,0.1984900175879325
20.0,4000.0,24.0,12.0,16.0,0.9778784944841286,0.10030169747186042
20.0,4000.0,24.0,12.0,16.0,0.8639511633456681,0.027659650483898318
20.0,4000.0,24.0,12.0,16.0,0.8317930028325773,0.17887383720386563
20.0,4000.0,24.0,12.0,16.0,0.8808845684178446,0.2710200952474936
20.0,4000.0,24.0,12.0,16.0,0.9048127842628458,0.15707066629157992
20.0,4000.0,24.0,12.0,16.0,0.983083103224212,0.10225489996041118
20.0,4000.0,24.0,12.0,16.0,0.7073873962044277,0.09336242803540495
20.0,4000.0,24.0,12.0,16.0,0.8492820976342961,0.25438191372282964
